"","ID","ref","theta.hr","pvalue.hr","theta.hn","pvalue.hn","theta.unif","pvalue.unif","max_theta","ndet","best.key","full.theta","T","reference","site","Scientific_name","ct_brand","ct_type","Country","ct_height","body_mass","start_year","max_theta_site","capture_events","data.family","data.genus","data.order","data.species","LOOCV_predicted_theta"
"86",NA,NA,NA,NA,NA,NA,NA,NA,0.907111111,NA,NA,0.272133333,"contact","Rowcliffe et al. (2011)","Rowcliffe11","Sciurus granatensis","Reconyx","RC55","Panama",0.2,0.4,2008,0.907111111,55,"Sciuridae","Sciurus","Rodentia","granatensis",NA
"87",NA,NA,NA,NA,NA,NA,NA,NA,0.907111111,NA,NA,0.307022222,"contact","Rowcliffe et al. (2011)","Rowcliffe11","Dasyprocta punctata","Reconyx","RC55","Panama",0.2,3.5,2008,0.907111111,724,"Dasyproctidae","Dasyprocta","Rodentia","punctata",NA
"88",NA,NA,NA,NA,NA,NA,NA,NA,0.907111111,NA,NA,0.3297,"contact","Rowcliffe et al. (2011)","Rowcliffe11","Nasua narica","Reconyx","RC55","Panama",0.2,4,2008,0.907111111,57,"Procyonidae","Nasua","Carnivora","narica",NA
"89",NA,NA,NA,NA,NA,NA,NA,NA,0.907111111,NA,NA,0.305277778,"contact","Rowcliffe et al. (2011)","Rowcliffe11","Cuniculus paca","Reconyx","RC55","Panama",0.2,8,2008,0.907111111,137,"Cuniculidae","Cuniculus","Rodentia","paca",NA
"90",NA,NA,NA,NA,NA,NA,NA,NA,0.907111111,NA,NA,0.279111111,"contact","Rowcliffe et al. (2011)","Rowcliffe11","Leopardus pardalis","Reconyx","RC55","Panama",0.2,11.9,2008,0.907111111,72,"Felidae","Leopardus","Carnivora","pardalis",NA
"91",NA,NA,NA,NA,NA,NA,NA,NA,0.907111111,NA,NA,0.387266667,"contact","Rowcliffe et al. (2011)","Rowcliffe11","Mazama americana","Reconyx","RC55","Panama",0.2,22.8,2008,0.907111111,81,"Cervidae","Mazama","Ungulata","americana",NA
"92",NA,NA,NA,NA,NA,NA,NA,NA,0.907111111,NA,NA,0.450066667,"contact","Rowcliffe et al. (2011)","Rowcliffe11","Pecari tajacu","Reconyx","RC55","Panama",0.2,25.2,2008,0.907111111,114,"Tayassuidae","Pecari","Ungulata","tajacu",NA
"93",NA,NA,NA,NA,NA,NA,NA,NA,0.66,NA,NA,0.271,"900","Khoo et al. (2021)","Singapore 2019","Tragulus kanchil","Bushnell","Aggressor Trophy Cam","Singapore",0.3,1.88993,2019,0.66,64,"Tragulidae","Tragulus","Ungulata","kanchil",NA
"94",NA,NA,NA,NA,NA,NA,NA,NA,0.66,NA,NA,0.308,"900","Khoo et al. (2021)","Singapore 2020","Sus scrofa","Bushnell","Aggressor Trophy Cam","Singapore",0.3,84.47154,2019,0.66,507,"Suidae","Sus","Ungulata","scrofa",NA
"95",NA,NA,NA,NA,NA,NA,NA,NA,0.66,NA,NA,0.281,"900","Khoo et al. (2021)","Singapore 2019","Rusa unicolor","Bushnell","Aggressor Trophy Cam","Singapore",0.3,177.5229,2019,0.66,57,"Cervidae","Rusa","Ungulata","unicolor",NA
"96",NA,NA,NA,NA,NA,NA,NA,NA,0.66,NA,NA,0.278,"900","Khoo et al. (2021)","Singapore 2020","Tragulus kanchil","Bushnell","Aggressor Trophy Cam","Singapore",0.3,1.88993,2019,0.66,154,"Tragulidae","Tragulus","Ungulata","kanchil",NA
"97",NA,NA,NA,NA,NA,NA,NA,NA,0.66,NA,NA,0.309,"900","Khoo et al. (2021)","Singapore 2019","Sus scrofa","Bushnell","Aggressor Trophy Cam","Singapore",0.3,84.47154,2019,0.66,439,"Suidae","Sus","Ungulata","scrofa",NA
"98",NA,NA,NA,NA,NA,NA,NA,NA,0.66,NA,NA,0.235,"900","Khoo et al. (2021)","Singapore 2020","Rusa unicolor","Bushnell","Aggressor Trophy Cam","Singapore",0.3,177.5229,2019,0.66,57,"Cervidae","Rusa","Ungulata","unicolor",NA
"99",NA,NA,NA,NA,NA,NA,NA,NA,0.66,NA,NA,0.3379,"contact","Rahman et al. (2017)","Bawean Island","Axis kuhlii","Bushnell","Trophy Cam HD Max","Indonesia",0.4,54.99999,2014,0.66,54,"Cervidae","Axis","Ungulata","kuhlii",NA
"100",NA,NA,NA,NA,NA,NA,NA,NA,0.907571,NA,NA,0.803,"contact","Palencia and Barroso (2024)","PB24","Dama dama","Spromise","S308","Spain",0.5,57.2,2023,0.907571,188,"Cervidae","Dama","Ungulata","dama",NA
"101",NA,NA,NA,NA,NA,NA,NA,NA,0.907571,NA,NA,0.44,"contact","Palencia and Barroso (2024)","PB24","Vulpes vulpes","Spromise","S308","Spain",0.5,4.8,2023,0.907571,192,"Canidae","Vulpes","Carnivora","vulpes",NA
"102",NA,NA,NA,NA,NA,NA,NA,NA,0.907571,NA,NA,0.8,"contact","Palencia and Barroso (2024)","PB24","Cervus elaphus","Spromise","S308","Spain",0.5,240.9,2023,0.907571,481,"Cervidae","Cervus","Ungulata","elaphus",NA
"103",NA,NA,NA,NA,NA,NA,NA,NA,0.907571,NA,NA,0.786,"contact","Palencia and Barroso (2024)","PB24","Capreolus capreolus","Spromise","S308","Spain",0.5,22.5,2023,0.907571,437,"Cervidae","Capreolus","Ungulata","capreolus",NA
"104",NA,NA,NA,NA,NA,NA,NA,NA,0.907571,NA,NA,0.779,"contact","Palencia and Barroso (2024)","PB24","Sus scrofa","Spromise","S308","Spain",0.5,84.5,2023,0.907571,317,"Suidae","Sus","Ungulata","scrofa",NA
